"title","body","labels","assignee","milestone","epic","priority"
"Mount and configure Limelight on WoodBot","Get limelight physically mounted on WoodBot and properly configured for field use.","enhancement","","Week 3","Vision","High Priority"
"Tune Pathplanner PID constants","Tune the holonomic PID values for Pathplanner path following.","enhancement","","Week 3","Testing/Prototyping","High Priority"
"Tune drive motor PID (timebox 1 hour)","Tune drive motor PID constants. Time-boxed to 1 hour maximum.","enhancement","","Week 3","Testing/Prototyping","High Priority"
"Run SysID routines on drivetrain","Execute SysID characterization runs on the drivetrain.","enhancement","","Week 3","Testing/Prototyping","High Priority"
"Measure and configure wheel radius","Accurately measure wheel radius and update configuration.","enhancement","","Week 3","Testing/Prototyping","High Priority"
"Run and validate autonomous routines","Execute autonomous routines on the field and validate behavior.","enhancement","","Week 3","Autos","High Priority"
"Implement controller button bindings","Set up controller button bindings for driver and operator controls.","enhancement","","Week 3","Commands","High Priority"
"Test localization accuracy on field","Validate localization code accuracy with real hardware on the field.","enhancement","","Week 3","Vision","High Priority"
"Implement full robot simulation","Get full robot simulation working with all subsystems.","enhancement","","Week 3","Simulations","High Priority"
"Design WoodBot superstructure architecture","Plan and document the superstructure design for WoodBot testing.","documentation","","Week 3","Architecture","High Priority"
"Prepare IOs for practice bot","Set up IO layer configurations for the practice bot.","enhancement","","Week 3","Architecture","High Priority"
"Implement basic auto commands for intake","Create registered auto command for intake operation.","enhancement","","Week 3","Autos",""
"Implement basic auto commands for shooting","Create registered auto command for shooting operation.","enhancement","","Week 3","Autos",""
"Implement follow path auto command","Create registered auto command for path following in autos.","enhancement","","Week 3","Autos",""
"Implement automated shooting command routine","Create full automated shooting sequence command.","enhancement","","Week 4","Commands",""
"Implement passing command","Create command for passing game pieces to alliance partners.","enhancement","","Week 4","Commands",""
"Implement shoot modes for different game situations","Create logic for when to shoot vs hold based on game state.","enhancement","","Week 4","Automation",""
"Implement target selection states","Create states for selecting targets based on robot position; match time; and auto winner.","enhancement","","Week 4","Automation",""
"Implement turret auto-tracking of hub","Implement automatic hub tracking with the turret subsystem.","enhancement","","Week 4","Automation",""
"Implement automated check for subsystem sim compatibility","Create tooling to verify all subsystems can run in simulation.","enhancement","","Week 4","Tooling",""
"Evaluate spindexer prototype for single ball stream","Test spindexer design for managing single stream of balls.","question","","Week 3","Testing/Prototyping",""
"Update SparkMax and SparkFlex firmware","Update REV motor controller firmware to latest versions.","enhancement","","Week 3","Testing/Prototyping",""
"Fix Talon current logging","Fix current logging implementation for TalonFX motor controllers.","bug","","Week 3","Logging",""
"Add setpoint logging to inputs","Add double setpoint value to logged inputs.","enhancement","","Week 3","Logging",""
"Add atSetpoint boolean to inputs","Add boolean isAtSetpoint flag to logged inputs.","enhancement","","Week 3","Logging",""
"Merge vision simulation branch","Merge the vision sim branch into main; check for PhotonSim Java LSP issues.","enhancement","","Week 3","Simulations",""
"Check in with Emma on planning board issues","Coordinate with Emma on which issues she's adding to the planning board.","question","","Week 3","Administration",""
